,rate,ampl,duration
FC5_mov_22_0,0.6666666666666666,5.626951825796621e-07,112.0
FC5_mov_22_1,0.6666666666666666,9.218198840964101e-07,172.0
FC5_rel_22_0,0.6666666666666666,8.947908676884865e-07,108.0
FC5_post_22_0,0.3333333333333333,4.385113026170994e-06,152.0
FC5_p-post_22_0,0.3993610223642173,3.069699695485133e-06,112.0
FC5_p-pre_23_0,0,0,0
FC5_pre_23_0,0,0,0
FC5_prep_23_0,0,0,0
FC5_mov_23_0,0.3333333333333333,5.217229327997758e-06,168.0
FC5_rel_23_0,0.6666666666666666,2.5790729823400706e-06,204.0
FC5_post_23_0,0.6666666666666666,2.7245972087209633e-06,120.0
FC5_post_23_1,0.6666666666666666,4.751769888682417e-06,160.0
FC5_p-post_23_0,0.7987220447284346,2.8965958200363322e-06,176.0
FC5_p-post_23_1,0.7987220447284346,3.6873200814266324e-06,180.0
FC5_p-pre_24_0,0,0,0
FC5_pre_24_0,0,0,0
FC5_prep_24_0,1.6666666666666667,3.3973673037171285e-06,180.0
FC5_mov_24_0,0.6666666666666666,2.159505194317121e-06,108.0
FC5_mov_24_1,0.6666666666666666,9.854699380173106e-06,116.0
FC5_rel_24_0,0,0,0
FC5_post_24_0,0.6666666666666666,2.5241623149824372e-05,212.0
FC5_post_24_1,0.6666666666666666,3.7035414127029286e-06,132.0
FC5_p-post_24_0,0.3993610223642173,1.2204541648095659e-06,140.0
FC5_p-pre_25_0,0,0,0
FC5_pre_25_0,1.0,6.324397409949128e-06,208.0
FC5_prep_25_0,0,0,0
FC5_mov_25_0,0.6666666666666666,1.6188656142686726e-06,148.0
FC5_mov_25_1,0.6666666666666666,1.6064227964918255e-06,128.0
FC5_rel_25_0,0.6666666666666666,2.2098691943797684e-05,272.0
FC5_post_25_0,0.6666666666666666,2.2098691943797684e-05,260.0
FC5_post_25_1,0.6666666666666666,1.0930561056493164e-05,368.0
FC5_p-post_25_0,0.3993610223642173,3.094429997662652e-05,448.0
FC5_p-pre_26_0,0,0,0
FC5_pre_26_0,1.0,3.2130106890934134e-06,236.0
FC5_prep_26_0,1.6666666666666667,3.2130106890934134e-06,224.0
FC5_mov_26_0,0.6666666666666666,4.008685755516204e-06,104.0
FC5_mov_26_1,0.6666666666666666,2.5834280394412816e-06,164.0
FC5_rel_26_0,1.3333333333333333,1.712630855003079e-05,128.0
FC5_rel_26_1,1.3333333333333333,6.102866540792163e-06,128.0
FC5_post_26_0,1.3333333333333333,5.915151252291758e-06,112.0
FC5_post_26_1,1.3333333333333333,4.991831799019423e-06,172.0
FC5_post_26_2,1.3333333333333333,6.421937816628695e-06,140.0
FC5_post_26_3,1.3333333333333333,7.623198490226268e-06,168.0
FC5_p-post_26_0,0.3993610223642173,1.0634901238364958e-06,128.0
FC5_p-pre_27_0,0,0,0
FC5_pre_27_0,0,0,0
FC5_prep_27_0,1.6666666666666667,2.1146562042587057e-06,112.0
FC5_mov_27_0,0.6666666666666666,4.248896053980837e-07,104.0
FC5_mov_27_1,0.6666666666666666,1.2280551559502268e-05,164.0
FC5_rel_27_0,0.6666666666666666,8.66817531260594e-06,192.0
FC5_post_27_0,0.6666666666666666,1.2728653904826442e-06,108.0
FC5_post_27_1,0.6666666666666666,2.6371656381714433e-06,160.0
FC5_p-post_27_0,0.7987220447284346,3.259809508239059e-06,116.0
FC5_p-post_27_1,0.7987220447284346,2.323777754727719e-06,128.0
FC1_p-pre_1_0,0,0,0
FC1_pre_1_0,0,0,0
FC1_prep_1_0,0,0,0
FC1_mov_1_0,0,0,0
FC1_rel_1_0,0,0,0
FC1_post_1_0,0,0,0
FC1_p-post_1_0,0,0,0
FC1_p-pre_2_0,0,0,0
FC1_pre_2_0,0,0,0
FC1_prep_2_0,0,0,0
FC1_mov_2_0,0,0,0
FC1_rel_2_0,0.6666666666666666,1.3699176084022396e-06,180.0
FC1_post_2_0,0,0,0
FC1_p-post_2_0,0,0,0
FC1_p-pre_3_0,0,0,0
FC1_pre_3_0,0,0,0
FC1_prep_3_0,0,0,0
FC1_mov_3_0,0.3333333333333333,1.835714132860513e-06,144.0
FC1_rel_3_0,0,0,0
FC1_post_3_0,0.6666666666666666,1.8047877859641578e-06,104.0
FC1_post_3_1,0.6666666666666666,1.4211582194945664e-06,124.0
FC1_p-post_3_0,0.7987220447284346,1.7981217201068742e-06,132.0
FC1_p-post_3_1,0.7987220447284346,1.2706241093624846e-06,128.0
FC1_p-pre_4_0,0,0,0
FC1_pre_4_0,0,0,0
FC1_prep_4_0,0,0,0
FC1_mov_4_0,0,0,0
FC1_rel_4_0,0,0,0
FC1_post_4_0,0.3333333333333333,1.7498806363260245e-06,112.0
FC1_p-post_4_0,0.3993610223642173,1.4612280247738668e-06,108.0
FC1_p-pre_5_0,0,0,0
FC1_pre_5_0,0,0,0
FC1_prep_5_0,1.6666666666666667,1.2483666402339023e-06,124.0
FC1_mov_5_0,0,0,0
FC1_rel_5_0,0,0,0
FC1_post_5_0,0.3333333333333333,7.040364479998764e-07,216.0
FC1_p-post_5_0,0.3993610223642173,2.2887542510326126e-06,104.0
FC1_p-pre_6_0,2.5,9.832742378767126e-07,140.0
FC1_pre_6_0,1.0,1.2972811187909678e-06,152.0
FC1_prep_6_0,0,0,0
FC1_mov_6_0,0.3333333333333333,1.6512022084657704e-06,176.0
FC1_rel_6_0,0.6666666666666666,1.6369815163445519e-07,108.0
FC1_post_6_0,0.3333333333333333,1.1459180332926223e-06,144.0
FC1_p-post_6_0,0,0,0
FC1_p-pre_7_0,0,0,0
FC1_pre_7_0,0,0,0
FC1_prep_7_0,0,0,0
FC1_mov_7_0,0.3333333333333333,1.8707764509723115e-06,104.0
FC1_rel_7_0,0,0,0
FC1_post_7_0,0.3333333333333333,1.5941462955506695e-06,124.0
FC1_p-post_7_0,0,0,0
FC1_p-pre_8_0,0,0,0
FC1_pre_8_0,1.0,2.698895790468985e-06,128.0
FC1_prep_8_0,0,0,0
FC1_mov_8_0,0.3333333333333333,2.188656473953841e-06,172.0
FC1_rel_8_0,0.6666666666666666,1.1513620156971863e-06,116.0
FC1_post_8_0,0.3333333333333333,1.396247360478805e-06,104.0
FC1_p-post_8_0,0,0,0
FC1_p-pre_9_0,0,0,0
FC1_pre_9_0,0,0,0
FC1_prep_9_0,0,0,0
FC1_mov_9_0,1.0,1.4023695667408525e-06,116.0
FC1_mov_9_1,1.0,2.291342907072032e-06,124.0
FC1_mov_9_2,1.0,2.5522555168244994e-06,168.0
FC1_rel_9_0,0.6666666666666666,3.223969658569533e-06,156.0
FC1_post_9_0,0,0,0
FC1_p-post_9_0,0.7987220447284346,2.3676663786598154e-06,116.0
FC1_p-post_9_1,0.7987220447284346,1.4639546252646067e-06,104.0
FC1_p-pre_10_0,2.5,2.5516896539832046e-06,140.0
FC1_pre_10_0,0,0,0
FC1_prep_10_0,0,0,0
FC1_mov_10_0,0.6666666666666666,1.017209816766523e-06,132.0
FC1_mov_10_1,0.6666666666666666,1.2206045296148776e-06,160.0
